Rank,Title,Title_Chinese,Title_English,Title_Japanese,Composite_Score,Confidence,Total_Votes,Website_Count,Percentile,Type,Episodes,Start_Date,Studios,Genres,ANILIST_Score,ANILIST_Votes,ANILIST_Rank,BANGUMI_Score,BANGUMI_Votes,BANGUMI_Rank,DOUBAN_Score,DOUBAN_Votes,DOUBAN_Rank,FILMARKS_Score,FILMARKS_Votes,FILMARKS_Rank,IMDB_Score,IMDB_Votes,IMDB_Rank,MAL_Score,MAL_Votes,MAL_Rank
16,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,克雷瓦提斯-魔兽之王与婴儿与尸之勇者-,Clevatess,クレバテス-魔獣の王と赤子と屍の勇者-,0.689,0.715,19371,6,76.92307692307693,TV,12,2025-07-02,Lay-duce,"Action, Fantasy",7.6,2655,17,6.9,901,18,8.0,482,14,8.0,231,17,8.0,794,11,7.88,14308,17
17,Kaijuu 8-gou 2nd Season,怪兽8号 第二季,Kaiju No. 8 Season 2,怪獣８号 第２期,0.538,0.786,51974,6,75.38461538461539,TV,11,2025-07-19,"Shueisha, Toho, Production I.G","Action, Sci-Fi",7.8,4090,15,5.7,415,37,7.2,1362,21,8.0,1242,18,8.3,24770,6,7.92,20095,14
18,SAKAMOTO DAYS Part 2,坂本日常 第2部分,SAKAMOTO DAYS Part 2,SAKAMOTO DAYS 第２クール,0.514,0.597,19829,5,73.84615384615385,ONA,11,2025-07-15,TMS Entertainment,"Action, Comedy",7.7,3053,16,6.0,320,32,7.9,522,15,7.8,1038,25,6.8,15,42,7.91,14896,15
19,Jibaku Shounen Hanako-kun 2 Part 2,放学后少年花子君 续篇,Toilet-Bound Hanako-kun Season 2 Part 2,地縛少年花子くん２ 後編,0.461,0.652,8152,6,72.3076923076923,TV,,2025-07-06,"Lerche, TBS, Pony Canyon, Square Enix, Crunchyroll, Movic, Contents Seed, Studio Hibari","Action, Comedy, Drama, Mystery, Supernatural",7.6,752,18,6.1,319,31,7.8,374,17,7.8,160,26,7.5,3393,21,7.97,3154,13
20,"Food Court de, Mata Ashita.",明天，美食广场见。,See You Tomorrow at the Food Court,フードコートで、また明日。,0.454,0.686,13008,6,70.76923076923077,TV,6,2025-07-07,"Atelier Pontdarc, KADOKAWA, Movic, BS Nittele, AT-X, TOKYO MX, Toy's Factory, Sun Television","Comedy, Slice of Life",7.3,2515,23,7.4,2875,8,7.7,564,18,7.8,497,27,7.0,63,37,7.54,6494,24
21,"Tensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu wo Kiwamemasu 2nd Season",转生为第七王子，随心所欲的魔法学习之路 第二季,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,転生したら第七王子だったので、気ままに魔術を極めます 第2期,0.408,0.572,13065,5,69.23076923076923,TV,12,2025-07-10,"Tsumugi Akita Anime Lab, Bandai Namco Filmworks, Kodansha, Crunchyroll, TV Tokyo, Bandai Namco Music Live, ADK Marketing Solutions","Action, Adventure, Fantasy, Slice of Life",7.5,1953,20,6.9,526,19,,,,8.0,396,19,6.8,2129,43,7.61,8061,23
22,Nukitashi THE ANIMATION,拔作岛,Nukitashi THE ANIMATION,ぬきたし THE ANIMATION,0.398,0.795,58579,6,67.6923076923077,TV,11,2025-07-19,"KADOKAWA, Passione, Yostar, AT-X, Qruppo","Action, Comedy, Drama, Ecchi, Romance",6.8,1101,30,7.8,3406,4,7.6,1112,20,8.8,111,3,6.9,259,41,7.33,52590,26
23,"Mikadono Sanshimai wa Angai, Choroi.",帝乃三姐妹原来很好搞定。,Dealing with Mikadono Sisters Is a Breeze,帝乃三姉妹は案外、チョロい。,0.365,0.554,9756,5,66.15384615384615,TV,12,2025-07-10,"Aniplex, P.A.WORKS, Mainichi Broadcasting System, SANKYO, JR Higashi Nihon Kikaku, Shogakukan, arma bianca, TOKYO MX, BS11, Movic","Comedy, Romance",7.4,1720,21,6.5,462,27,,,,7.0,271,40,7.7,223,18,7.63,7080,21
24,Ame to Kimi to,和雨和你,With You and the Rain,雨と君と,0.346,0.642,7158,6,64.61538461538461,TV,12,2025-07-06,"Lesprit, NBCUniversal Entertainment Japan, BS Asahi, TV Asahi","Comedy, Slice of Life",7.1,1038,26,6.9,611,20,8.1,482,12,7.8,536,28,7.1,132,33,7.45,4359,25
25,Karaoke Iko!,去K歌吧！,Let's Go Karaoke!,カラオケ行こ！,0.339,0.656,53014,5,63.07692307692307,TV,5,2025-07-24,"Doga Kobo, KADOKAWA","Comedy, Music",7.0,374,27,6.7,104,25,7.7,50387,19,8.2,691,14,8.2,39,8,7.62,1458,22
