Rank,Title,Title_English,Title_Japanese,Type,Episodes,Start_Date,Studios,Genres,Composite_Score,Confidence,Total_Votes,Website_Count,ANILIST_Score,ANILIST_Votes,BANGUMI_Score,BANGUMI_Votes,DOUBAN_Score,DOUBAN_Votes,FILMARKS_Score,FILMARKS_Votes,IMDB_Score,IMDB_Votes,MAL_Score,MAL_Votes
29,Jigoku Sensei Nube (2025),Hell Teacher: Jigoku Sensei Nube,地獄先生ぬ～べ～,TV,,2025-07-02,Studio Kai,"Comedy, Horror, Mythology, School, Shounen, Supernatural",0.084938,0.311439,5460,5,7.2,1037,6.8,23,,,8.0,2413,7.4,49,6.66,2010
30,Bad Girl,Bad Girl,ばっどがーる,ONA,12,2025-07-06,"Bridge, King Records","Comedy, Romance",0.049228,0.591832,18246,6,6.6,911,6.7,1141,7.9,13174,7.6,192,7.1,40,6.78,2828
31,Puniru wa Kawaii Slime 2nd Season,Puniru is a Kawaii Slime Season 2,ぷにるはかわいいスライム 第2期,TV,12,2025-07-06,"TOHO animation STUDIO, Toho, TV Tokyo, Shogakukan, Shogakukan-Shueisha Productions","Comedy, Fantasy, Romance, Slice of Life",0.013882,0.441365,1505,5,6.2,169,7.4,644,,,8.4,52,5.4,114,6.99,526
32,Tsuihousha Shokudou e Youkoso!,Welcome to the Outcast's Restaurant!,追放者食堂へようこそ！,TV,12,2025-07-04,"Avex Pictures, OLM, AT-X, OVERLAP, BS11, CBC TV, HIKE, TOKYO MX, OLM, Bit Grooove Promotion, KLOCKWORX, MAGNET","Adventure, Comedy, Fantasy, Slice of Life",-0.016761,0.537483,7410,5,6.7,1172,5.8,485,,,7.4,273,7.9,102,7.18,5378
33,GaCen Shoujo to Ibunka Kouryuu,Cultural Exchange with a Game Centre Girl,ゲーセン少女と異文化交流,TV,12,2025-07-06,"Nomad, KADOKAWA, Taito, NTT Docomo, BS Asahi, AT-X","Comedy, Romance",-0.147672,0.63625,6568,6,6.4,943,6.9,1526,6.6,173,7.4,147,7.8,89,6.76,3690
34,Game Center Shoujo to Ibunka Kouryuu,Cultural Exchange With a Game Centre Girl,ゲーセン少女と異文化交流,TV,12,2025-07-06,Nomad,"Comedy, Love Status Quo, Romance",-0.147672,0.63625,6568,6,6.4,943,6.9,1526,6.6,173,7.4,147,7.8,89,6.76,3690
35,Mattaku Saikin no Tantei to Kitara,Detectives These Days Are Crazy!,まったく最近の探偵ときたら,TV,12,2025-07-01,"KADOKAWA, LIDENFILMS, Ultra Super Pictures, BS11, AT-X, Culture Entertainment","Comedy, Mystery",-0.212032,0.645892,7504,6,6.7,1151,6.5,845,6.7,303,7.4,247,6.0,153,7.14,4805
36,Arknights: Rise from Ember,Arknights: Rise from Ember,アークナイツ【焔燼曙明/RISE FROM EMBER】,TV,10,2025-07-04,Yostar Pictures,"Action, Fantasy",-0.274317,0.47631,2687,5,7.3,495,6.3,228,,,3.6,50,5.5,75,7.68,1839
37,Zutaboro Reijou wa Ane no Moto Konyakusha ni Dekiai Sareru,Betrothed to My Sister's Ex,ずたぼろ令嬢は姉の元婚約者に溺愛される,TV,12,2025-07-05,"LandQ studios, Mainichi Broadcasting System, TBS","Drama, Fantasy, Romance",-0.328643,0.522875,5816,5,6.9,951,4.7,88,,,6.4,170,7.0,118,7.24,4489
38,Utagoe wa Mille-Feuille,Harmony of Mille-Feuille,うたごえはミルフィーユ,TV,10,2025-07-17,Jumondou,"Music, School",-0.35116,0.794382,524265,5,5.3,130,5.4,344,,,7.0,80,8.5,523328,6.07,383
39,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,異世界黙示録マイノグーラ ～破滅の文明で始める世界征服～,TV,12,2025-07-06,"Maho Film, Happinet Media Marketing, Maho Film, Asmik Ace, Micro Magazine Sha, arma bianca, Bandai Namco Music Live, BS Nittele, KLOCKWORX","Action, Adventure, Comedy, Drama, Fantasy, Romance",-0.402098,0.561518,11038,5,6.7,1791,5.5,290,,,6.0,94,7.1,218,6.94,8645
40,Kakkou no Iinazuke Season 2,A Couple of Cuckoos Season 2,カッコウの許嫁 Season2,TV,12,2025-07-08,"KADOKAWA, Okuruto Noboru, Kodansha, Crunchyroll, BS Nittele, Bit Grooove Promotion, Okuruto Noboru","Comedy, Romance",-0.413809,0.543113,8135,5,6.6,999,5.1,166,,,7.0,170,6.8,2415,6.94,4385
41,Leviathan,Leviathan,リヴァイアサン,ONA,12,2025-07-10,"Orange, Qubic Pictures","Adventure, Mecha, Sci-Fi",-0.429208,0.592938,3610,6,6.6,607,4.9,67,6.8,240,7.8,182,6.6,486,6.9,2028
42,Mizu Zokusei no Mahoutsukai,The Water Magician,水属性の魔法使い,TV,,2025-07-04,"Typhoon Graphics, WonderLand","Adult Cast, Adventure, Fantasy, Isekai, Reincarnation",-0.510663,0.710878,18418,6,6.8,3055,5.4,555,5.6,223,6.4,237,7.0,431,7.19,13917
43,Dekin no Mogura,Dekin no Mogura: The Earthbound Mole,出禁のモグラ,TV,12,2025-07-07,Brain's Base,"Comedy, Mystery, Seinen, Supernatural",-0.531191,0.583373,3163,6,5.8,498,5.9,222,7.0,195,8.0,385,7.3,63,6.17,1800
44,SUGAR SUGAR RUNE: Les deux sorcières,Sugar Sugar Rune: Les deux sorcières,SUGAR SUGAR RUNE: Les deux sorcières,Special,1,2025-07-04,Studio Khara,"Fantasy, Mahou Shoujo",-0.559127,0.147878,458,4,6.3,143,5.7,22,,,6.4,3,,,6.77,315
45,Tougen Anki,TOUGEN ANKI,桃源暗鬼,TV,24,2025-07-11,"Pony Canyon, Studio Hibari, Dentsu, Nippon Television Network, Akita Shoten, Studio Hibari","Action, Mystery, Supernatural",-0.576897,0.683567,12629,6,6.7,1994,4.9,150,5.7,236,7.2,687,6.8,622,6.97,8940
46,Fermat no Ryouri,Fermat Kitchen,フェルマーの料理,TV,12,2025-07-05,"SKY Perfect Pictures, TV Asahi, domerica","Drama, Slice of Life",-0.594423,0.479649,2840,5,6.3,426,4.8,227,,,7.0,173,7.2,347,6.66,1667
47,Osomatsu-san 4th Season,Mr. Osomatsu 4th Season,おそ松さん 第4期,TV,13,2025-07-09,Pierrot Films,"Adult Cast, Comedy, Gag Humor, Parody",-0.608014,0.344447,1258,5,4.8,63,5.5,37,,,7.6,269,7.4,509,6.58,417
48,Yami Shibai 15,Theatre of Darkness: Yamishibai 15,闇芝居 十五期,TV,,2025-07-14,ILCA,"Avant Garde, Horror, Supernatural",-0.668697,0.265721,1543,4,,,4.8,12,,,7.0,315,7.0,1024,5.95,204
