排名,标题,英文标题,日文标题,综合评分,置信度,总投票数,网站数量,百分位数,类型,集数,开播日期,制作公司,类型标签,anilist_评分,anilist_投票数,anilist_排名,bangumi_评分,bangumi_投票数,bangumi_排名,filmarks_评分,filmarks_投票数,filmarks_排名,imdb_评分,imdb_投票数,imdb_排名,mal_评分,mal_投票数,mal_排名
36,Karaoke Iko!,Let's Go Karaoke!,カラオケ行こ！,0.137,0.35,1397,4,53.9,TV,5.0,2025-07-24,"Doga Kobo, KADOKAWA","Comedy, Music",6.4,205.0,50.0,6.3,59.0,36.0,8.4,336,12,7.3,17.0,40.0,7.28,797,33
37,Shin Kidou Senki Gundam Wing: Operation 30th,Mobile Suit Gundam Wing 30th Anniversary Video: Operation 30th,【30周年記念映像】新機動戦記ガンダムW-operation30th-,0.015,0.266,1544,3,52.6,,1.0,2025-07-25,Sunrise,"Action, Mecha, Music, Sci-Fi",6.9,206.0,33.0,,,,7.8,1223,33,,,,6.81,115,50
38,Douluo Dalu: Jiandao Chen Xin,,斗罗大陆剧场版 剑道尘心,0.001,0.131,226,2,51.3,ONA,1.0,2025-07-12,Sparkly Key Animation Studio,"Action, Adventure, Fantasy, Historical, Martial Arts",,,,5.2,18.0,60.0,7.4,102,44,,,,7.15,124,39
39,GaCen Shoujo to Ibunka Kouryuu,Cultural Exchange with a Game Centre Girl,ゲーセン少女と異文化交流,-0.008,0.52,5553,5,50.0,TV,12.0,2025-07-06,"Nomad, KADOKAWA, Taito, NTT Docomo, BS Asahi, AT-X","Comedy, Romance",6.5,837.0,46.0,7.0,1322.0,21.0,7.4,129,41,7.5,75.0,28.0,6.84,3190,48
40,Game Center Shoujo to Ibunka Kouryuu,Cultural Exchange With a Game Centre Girl,ゲーセン少女と異文化交流,-0.008,0.52,5553,5,48.7,TV,12.0,2025-07-06,Nomad,"Comedy, Love Status Quo, Romance",6.5,837.0,47.0,7.0,1322.0,22.0,7.4,129,43,7.5,75.0,29.0,6.84,3190,49
41,Tsuihousha Shokudou e Youkoso!,Welcome to the Outcast's Restaurant!,追放者食堂へようこそ！,-0.022,0.528,6364,5,47.4,TV,12.0,2025-07-04,"Avex Pictures, OLM, AT-X, OVERLAP, BS11, CBC TV, HIKE, TOKYO MX, OLM, Bit Grooove Promotion, KLOCKWORX, MAGNET","Adventure, Comedy, Fantasy, Slice of Life",6.7,1011.0,41.0,5.9,438.0,41.0,7.6,236,34,7.7,83.0,21.0,7.19,4596,37
42,Bad Girl,Bad Girl,ばっどがーる,-0.096,0.405,4424,4,46.1,ONA,12.0,2025-07-06,"Bridge, King Records","Comedy, Romance",6.5,722.0,45.0,6.7,1009.0,30.0,7.6,174,36,6.5,33.0,65.0,6.79,2519,52
43,Jigoku Sensei Nube (2025),Hell Teacher: Jigoku Sensei Nube,地獄先生ぬ～べ～,-0.172,0.294,3375,3,44.7,TV,,2025-07-02,Studio Kai,"Comedy, Horror, Mythology, School, Shounen, Supernatural",7.2,1029.0,30.0,6.8,22.0,28.0,7.2,493,45,7.3,47.0,36.0,6.68,1853,55
44,Utagoe wa Mille-Feuille,Harmony of Mille-Feuille,うたごえはミルフィーユ,-0.193,0.794,522847,5,43.4,TV,10.0,2025-07-17,Jumondou,"Music, School",5.3,109.0,71.0,5.4,298.0,58.0,7.0,69,51,8.5,522056.0,7.0,6.13,315,72
45,Mattaku Saikin no Tantei to Kitara,Detectives These Days Are Crazy!,まったく最近の探偵ときたら,-0.222,0.529,6403,5,42.1,TV,12.0,2025-07-01,"KADOKAWA, LIDENFILMS, Ultra Super Pictures, BS11, AT-X, Culture Entertainment","Comedy, Mystery",6.7,1032.0,40.0,6.4,743.0,32.0,7.4,226,39,6.1,122.0,70.0,7.13,4280,40
46,Puniru wa Kawaii Slime 2nd Season,Puniru is a Kawaii Slime Season 2,ぷにるはかわいいスライム 第2期,-0.224,0.449,1705,5,40.8,TV,12.0,2025-07-06,"TOHO animation STUDIO, Toho, TV Tokyo, Shogakukan, Shogakukan-Shueisha Productions","Comedy, Fantasy, Romance, Slice of Life",6.1,152.0,60.0,7.4,570.0,9.0,7.4,411,42,5.7,105.0,72.0,7.01,467,43
47,Mizu Zokusei no Mahou Tsukai,The Water Magician,水属性の魔法使い,-0.33,0.58,15011,5,39.5,TV,12.0,2025-07-04,"TYPHOON GRAPHICS, Wonderland, TBS, Crunchyroll, TO Books, Universal Music, BS11, TYPHOON GRAPHICS, KLOCKWORX","Action, Adventure, Fantasy",6.8,2520.0,34.0,5.5,493.0,51.0,6.2,192,63,7.1,334.0,45.0,7.22,11472,34
48,Mizu Zokusei no Mahoutsukai,The Water Magician,水属性の魔法使い,-0.33,0.58,15011,5,38.2,TV,,2025-07-04,"Typhoon Graphics, WonderLand","Adult Cast, Adventure, Fantasy, Isekai, Reincarnation",6.8,2520.0,35.0,5.5,493.0,52.0,6.2,192,64,7.1,334.0,47.0,7.22,11472,35
49,Zutaboro Reijou wa Ane no Moto Konyakusha ni Dekiai Sareru,Betrothed to My Sister's Ex,ずたぼろ令嬢は姉の元婚約者に溺愛される,-0.342,0.513,4918,5,36.8,TV,12.0,2025-07-05,"LandQ studios, Mainichi Broadcasting System, TBS","Drama, Romance",6.8,805.0,36.0,4.7,78.0,71.0,6.4,145,60,7.6,92.0,26.0,7.2,3798,36
50,Tougen Anki,TOUGEN ANKI,桃源暗鬼,-0.355,0.555,9884,5,35.5,TV,24.0,2025-07-11,"Pony Canyon, Studio Hibari, Dentsu, Nippon Television Network, Akita Shoten, Studio Hibari","Action, Mystery, Supernatural",6.8,1619.0,38.0,5.1,135.0,64.0,7.2,530,48,6.9,466.0,53.0,7.03,7134,41
51,Long Zu II: Daowangzhe Zhi Tong,Dragon Raja II -The Mourner's Eyes-,龙族Ⅱ：悼亡者之瞳,-0.421,0.48,2865,5,34.2,ONA,24.0,2025-07-18,GARDEN Culture,"Adventure, Fantasy",6.5,125.0,49.0,4.1,57.0,74.0,5.8,279,70,7.7,1990.0,25.0,7.59,414,29
52,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,異世界黙示録マイノグーラ ～破滅の文明で始める世界征服～,-0.439,0.549,9037,5,32.9,TV,12.0,2025-07-06,"Maho Film, Happinet Media Marketing, Maho Film, Asmik Ace, Micro Magazine Sha, arma bianca, Bandai Namco Music Live, BS Nittele, KLOCKWORX","Action, Adventure, Comedy, Drama, Fantasy, Romance",6.7,1488.0,42.0,5.5,258.0,53.0,5.8,78,69,7.3,179.0,37.0,6.99,7034,45
53,Kakkou no Iinazuke Season 2,A Couple of Cuckoos Season 2,カッコウの許嫁 Season2,-0.441,0.536,7175,5,31.6,TV,12.0,2025-07-08,"KADOKAWA, Okuruto Noboru, Kodansha, Crunchyroll, BS Nittele, Bit Grooove Promotion, Okuruto Noboru","Comedy, Romance",6.7,836.0,43.0,5.1,141.0,63.0,7.2,145,46,6.8,2353.0,59.0,7.01,3700,44
54,Leviathan,Leviathan,リヴァイアサン,-0.501,0.479,2810,5,30.3,ONA,12.0,2025-07-10,"Orange, Qubic Pictures","Adventure, Mecha, Sci-Fi",6.5,505.0,48.0,4.9,59.0,68.0,7.8,157,32,6.6,426.0,64.0,6.88,1663,47
55,Osomatsu-san 4th Season,Mr. Osomatsu 4th Season,おそ松さん 第4期,-0.623,0.339,1135,4,28.9,TV,13.0,2025-07-09,Pierrot Films,"Adult Cast, Comedy, Gag Humor, Parody",4.8,63.0,73.0,5.5,28.0,55.0,7.6,220,37,7.4,500.0,33.0,6.65,352,59
56,SUGAR SUGAR RUNE: Les deux sorcières,Sugar Sugar Rune: Les deux sorcières,SUGAR SUGAR RUNE: Les deux sorcières,-0.625,0.146,420,2,27.6,Special,1.0,2025-07-04,Studio Khara,"Fantasy, Mahou Shoujo",6.3,133.0,53.0,5.6,19.0,49.0,6.8,1,52,,,,6.79,287,51
57,Turkey!,Turkey! Time to Strike,Turkey!,-0.649,0.389,3141,4,26.3,TV,,2025-07-09,Bakken Record,"Historical, Sports, Time Travel",5.8,576.0,68.0,6.0,764.0,39.0,7.6,200,38,6.5,26.0,67.0,6.27,1601,68
58,Dekin no Mogura,Dekin no Mogura: The Earthbound Mole,出禁のモグラ,-0.65,0.475,2622,5,25.0,TV,12.0,2025-07-07,Brain's Base,"Comedy, Mystery, Seinen, Supernatural",5.7,438.0,69.0,5.9,194.0,42.0,8.0,325,25,7.0,54.0,50.0,6.15,1611,71
59,Koujo Denka no Katei Kyoushi,Private Tutor to the Duke's Daughter,公女殿下の家庭教師,-0.653,0.526,6083,5,23.7,ONA,12.0,2025-06-29,"Studio Blanc, King Records, Bit Grooove Promotion","Drama, Fantasy, Romance",6.3,1069.0,51.0,5.8,524.0,43.0,5.4,99,71,7.4,110.0,30.0,6.65,4281,57
60,Koujo Denka no Kateikyoushi,Private Tutor to the Duke's Daughter,公女殿下の家庭教師,-0.653,0.526,6083,5,22.4,TV,,2025-07-06,Studio Blanc.,Fantasy,6.3,1069.0,54.0,5.8,524.0,45.0,5.4,99,72,7.4,110.0,32.0,6.65,4281,58
61,Fermat no Ryouri,Fermat Kitchen,フェルマーの料理,-0.654,0.472,2506,5,21.1,TV,12.0,2025-07-05,"SKY Perfect Pictures, TV Asahi, domerica","Drama, Slice of Life",6.2,370.0,57.0,4.9,209.0,66.0,7.0,155,49,7.2,343.0,41.0,6.66,1429,56
62,Busamen Gachi Fighter,"Uglymug, Epicfighter",ブサメンガチファイター,-0.721,0.519,5451,5,19.7,TV,12.0,2025-07-06,"WHITE FOX, Nippon Columbia, bilibili, VAP, KLOCKWORX, EGG FIRM","Adventure, Fantasy",6.1,800.0,59.0,5.7,452.0,47.0,6.2,115,65,7.2,96.0,42.0,6.49,3988,63
63,Busu ni Hanataba wo.,April Showers Bring May Flowers,ブスに花束を。,-0.733,0.386,3002,4,18.4,TV,13.0,2025-07-04,"SILVER LINK., Mainichi Broadcasting System, VAP, Marvelous, SILVER LINK., BS Nittele, TOKYO MX","Comedy, Romance",6.2,543.0,56.0,5.2,180.0,59.0,6.6,200,57,6.8,33.0,56.0,6.69,2079,54
64,Futari Solo Camp,Solo Camping for Two,ふたりソロキャンプ,-0.785,0.393,3470,4,17.1,TV,24.0,2025-07-11,"SynergySP, Pony Canyon, Kodansha, Crunchyroll, BS Asahi",Slice of Life,6.1,727.0,62.0,5.6,184.0,50.0,6.4,131,62,6.4,41.0,68.0,6.52,2428,62
65,Kizetsu Yuusha to Ansatsu Hime,The Shy Hero and the Assassin Princesses,気絶勇者と暗殺姫,-0.804,0.413,5232,4,15.8,TV,,2025-07-12,Connect,"Action, Comedy, Fantasy, Shounen",6.1,817.0,64.0,5.7,321.0,48.0,5.0,48,75,6.9,106.0,54.0,6.37,3988,66
