Rank,Title,Title_Chinese,Title_English,Title_Japanese,Composite_Score,Confidence,Total_Votes,Website_Count,Percentile,Type,Episodes,Start_Date,Studios,Genres,ANILIST_Score,ANILIST_Votes,ANILIST_Rank,BANGUMI_Score,BANGUMI_Votes,BANGUMI_Rank,FILMARKS_Score,FILMARKS_Votes,FILMARKS_Rank,IMDB_Score,IMDB_Votes,IMDB_Rank,MAL_Score,MAL_Votes,MAL_Rank
57,Kizetsu Yuusha to Ansatsu Hime,气绝勇者与暗杀公主,The Shy Hero and the Assassin Princesses,気絶勇者と暗殺姫,-0.804,0.413,5232,4,17.647058823529413,TV,,2025-07-12,Connect,"Action, Comedy, Fantasy, Shounen",6.1,817,54,5.7,321,41,5.0,48,66,6.9,106,47,6.37,3988,58
58,Tsuyokute New Saga,强者的新传说,New Saga,強くてニューサーガ,-0.875,0.529,6444,5,16.176470588235293,TV,12,2025-07-03,"ABC Animation, Sotsu, Studio Massket, Studio Clutch, AlphaPolis, ANICI, Sotsu, Bandai Namco Music Live, Bushiroad, Pia, KLOCKWORX, TOKYO MX, Exa International, Toei Video","Adventure, Fantasy",6.3,1116,46,5.4,176,49,5.2,88,65,6.6,155,55,6.69,4909,47
59,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season,转生成自动贩卖机的我今天也在迷宫徘徊 第二季,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 2",自動販売機に生まれ変わった俺は迷宮を彷徨う 2nd Season,-0.897,0.521,5610,5,14.705882352941178,TV,,2025-07-02,"Studio Gokumi, AXsiZ, Nippon Television Network, Yomiuri TV Enterprise, ANICI, Docomo Anime Store, VAP, Nittele Wands, BS Nittele","Adventure, Comedy, Fantasy",6.2,809,50,5.1,129,55,6.6,102,52,6.3,1045,60,6.6,3525,52
60,Nyaight of the Living Cat,活死喵之夜,Nyaight of the Living Cat,ニャイト・オブ・ザ・リビングキャット,-0.921,0.494,3583,5,13.23529411764706,ONA,12,2025-07-06,"Sony Pictures Entertainment, OLM, Crunchyroll, CyberAgent, Mag Garden, Animax Broadcast Japan, MediaNet, Warner Music Japan, OLM, 81 Produce, Slow Curve",Horror,6.1,591,55,5.1,208,56,6.8,206,48,6.5,135,58,6.33,2443,59
61,"Yuusha Party wo Tsuihou sareta Shiromadoushi, S-Rank Boukensha ni Hirowareru: Kono Shiromadoushi ga Kikakugai Sugiru",被驱逐出勇者队伍的白魔导师， 被S级冒险者捡到,Scooped Up by an S-Ranked Adventurer,勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,-0.93,0.531,6642,5,11.76470588235294,TV,,2025-07-11,Felix Film,"Adventure, Fantasy",6.1,1094,56,4.6,219,64,6.0,133,59,7.4,99,30,6.46,5097,56
62,"Kanojo, Okarishimasu 4th Season",租借女友 第四季,Rent-a-Girlfriend Season 4,彼女、お借りします 第4期,-0.976,0.593,18515,5,10.294117647058822,TV,12,2025-07-05,TMS Entertainment,"Adult Cast, Comedy, Harem, Romance, Shounen",6.0,1430,57,3.5,249,67,8.4,224,10,6.8,10440,51,6.2,6172,61
63,Yami Shibai 15,暗芝居 第十五季,Theatre of Darkness: Yamishibai 15,闇芝居 十五期,-0.988,0.171,1195,2,8.823529411764707,TV,,2025-07-14,ILCA,"Avant Garde, Horror, Supernatural",,,,5.0,9,57,6.0,13,60,7.0,1017,44,5.99,178,65
64,Binan Koukou Chikyuu Bouei-bu Haikara!,美男高校地球防卫部High collar！,Cute High Earth Defense Club Hi-CARA!,美男高校地球防衛部ハイカラ！,-1.029,0.14,326,2,7.352941176470589,TV,12,2025-07-07,Studio Deen,"Comedy, Fantasy, Historical, Parody, School, Super Power",,,,4.8,12,61,6.6,36,53,7.1,149,41,5.98,177,66
65,9: Ruler's Crown,9-nine- 支配者的王冠,,9-nine- Ruler's Crown,-1.334,0.357,1641,4,5.88235294117647,TV,13,2025-07-05,PRA,"Mystery, Romance, School, Super Power",5.2,259,64,4.9,506,60,7.0,91,45,6.8,18,52,5.88,785,67
66,Watari-kun no xx ga Houkai Sunzen,渡君的XX即将崩坏,Watari-kun's ****** Is about to Collapse,渡くんの××が崩壊寸前,-1.37,0.524,5901,5,4.411764705882353,TV,,2025-07-05,Staple Entertainment,"Comedy, Drama, Romance, School, Seinen",5.9,1055,59,4.8,246,62,5.0,56,67,5.7,120,63,6.38,4424,57
67,Hotel Inhumans,杀手旅店,Hotel Inhumans,ホテル・インヒューマンズ,-1.494,0.627,32784,5,2.941176470588235,TV,13,2025-07-06,Bridge,"Action, Drama, Organized Crime",6.0,488,58,5.4,161,50,6.0,163,61,4.9,30182,64,6.52,1790,54
68,Kizu darake Seijo yori Houfuku wo Komete,黑化吧！圣女大人,"With Vengeance, Sincerely, Your Broken Saintess",傷だらけ聖女より報復をこめて,-1.749,0.342,1206,4,1.4705882352941175,TV,6,2025-07-10,"Imagica Infos, Imageworks Studio","Fantasy, Romance",5.3,176,63,3.9,58,66,6.4,61,56,,,,5.59,911,68
